plotID,subplotID,plotType,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,coordSrc,elevation,vertUncert,nlcdClass,appMods,subpltSize,subpltDim,refPoint,plotName,plotStatus
ABBY_061,41_400,tower,basePlot,45.7625404170598,-122.331027980035,WGS84,10N,552021.163,5067882.242,2.1,GIS,363.71,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,41,ABBY_061_basePlot,current
ABBY_061,39_400,tower,basePlot,45.7625529615503,-122.331290462334,WGS84,10N,552000.74,5067883.465,2.1,GIS,362.98,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,39,ABBY_061_basePlot,current
ABBY_061,21_400,tower,basePlot,45.7623650218616,-122.331300487767,WGS84,10N,552000.135,5067862.578,2.1,GIS,362.42,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,21,ABBY_061_basePlot,current
ABBY_061,23_400,tower,basePlot,45.7623532514137,-122.331034923654,WGS84,10N,552020.797,5067861.443,2.1,GIS,364.04,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,23,ABBY_061_basePlot,current
ABBY_073,41_400,tower,basePlot,45.7630335409342,-122.32447170691199,WGS84,10N,552530.534,5067941.315,2.1,GIS,335.9,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,41,ABBY_073_basePlot,current
ABBY_073,23_400,tower,basePlot,45.7628534116519,-122.324496475457,WGS84,10N,552528.777,5067921.286,2.1,GIS,340.98,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,23,ABBY_073_basePlot,current
ABBY_073,39_400,tower,basePlot,45.7630514934233,-122.32472835079,WGS84,10N,552510.56,5067943.141,2.1,GIS,336.53,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,39,ABBY_073_basePlot,current
ABBY_073,21_400,tower,basePlot,45.7628703241631,-122.324750777738,WGS84,10N,552508.986,5067922.998,2.1,GIS,341.54,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,21,ABBY_073_basePlot,current
ABBY_062,41_400,tower,basePlot,45.7635524691549,-122.327939239164,WGS84,10N,552260.407,5067996.697,2.14,GIS,341.83,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,41,ABBY_062_basePlot,current
ABBY_062,39_400,tower,basePlot,45.7635632852627,-122.328197412491,WGS84,10N,552240.321,5067997.73,2.1,GIS,345.53,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,39,ABBY_062_basePlot,current
ABBY_062,23_400,tower,basePlot,45.7633712103515,-122.327951137681,WGS84,10N,552259.651,5067976.551,2.1,GIS,345.1,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,23,ABBY_062_basePlot,current
ABBY_062,21_400,tower,basePlot,45.7633818734967,-122.328212385508,WGS84,10N,552239.326,5067977.565,2.1,GIS,350.22,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,21,ABBY_062_basePlot,current
ABBY_063,39_400,tower,basePlot,45.7606020615618,-122.330168929211,WGS84,10N,552089.769,5067667.446,2.1,GIS,363.75,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,39,ABBY_063_basePlot,current
ABBY_063,21_400,tower,basePlot,45.7604194885995,-122.330180874072,WGS84,10N,552089.01,5067647.154,2.1,GIS,363.84,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,21,ABBY_063_basePlot,current
ABBY_063,23_400,tower,basePlot,45.7604050265762,-122.329917229075,WGS84,10N,552109.526,5067645.719,2.1,GIS,364.3,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,23,ABBY_063_basePlot,current
ABBY_063,41_400,tower,basePlot,45.7605900799142,-122.32990924001,WGS84,10N,552109.975,5067666.284,2.1,GIS,364.39,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,41,ABBY_063_basePlot,current
ABBY_064,41_400,tower,basePlot,45.7625186001993,-122.328337274736,WGS84,10N,552230.42,5067881.572,2.1,GIS,361.49,0.53,grasslandHerbaceous,ltr|bbc|hbp|cfc|vst,400,20m x 20m,41,ABBY_064_basePlot,current
ABBY_064,23_400,tower,basePlot,45.7623354480555,-122.328344050593,WGS84,10N,552230.064,5067861.219,2.1,GIS,361.93,0.53,grasslandHerbaceous,ltr|bbc|hbp|cfc|vst,400,20m x 20m,23,ABBY_064_basePlot,current
