country,stateProvince,county,domainName,domainID,siteName,siteID,plotType,subtype,subtypeSpecification,plotID,plotSize,plotDimensions,referencePointPosition,decimalLatitude,decimalLongitude,geodeticDatum,utmZone,easting,northing,coordinateUncertainty,elevation,elevationUncertainty,minimumElevation,maximumElevation,slopeGradient,slopeAspect,nlcdClass,soilTypeOrder,coordinateSource,recordedDate,filteredPositions,plotPdop,plotHdop,plotName,sampledAppMod,plotStatus,plotStartDate,plotEndDate
unitedStates,WA,Clark,Pacific Northwest,D16,Abby Road NEON,ABBY,distributed,basePlot,,ABBY_005,1600,40m x 40m,41,45.770977,-122.389412,WGS84,10N,547473.873,5068783.296,0.1,472.25,0.1,470.2,477.66,9.65,310,shrubScrub,Ultisols,Geo 7X (H-Star),2016-05-18,237,1.3,0.7,ABBY_005_basePlot,brd|cdw|div|hbp|vst,decommissioned,2016-01-01,2021-12-31
unitedStates,WA,Clark,Pacific Northwest,D16,Abby Road NEON,ABBY,distributed,tickPlot,,ABBY_005,1600,40m x 40m,41,45.771972,-122.388073,WGS84,10N,547577.167,5068894.55,0.1,493.31,0.1,487.95,497.41,10,228.45,shrubScrub,Inceptisols,Geo 7X (H-Star),2016-05-20,417,1.7,0.8,ABBY_005_tickPlot,tck,decommissioned,2016-01-01,2021-12-31
unitedStates,CA,Fresno,Pacific Southwest,D17,Soaproot Saddle NEON,SOAP,distributed,tickPlot,,SOAP_005,1600,40m x 40m,41,37.031309,-119.264582,WGS84,11N,298574.505,4100743.603,0.11,1199.67,0.11,1191.18,1205.17,9,152,evergreenForest,Alfisols,GeoXH 6000,2016-09-06,630,4.7,2.7,SOAP_005_tickPlot,tck,decommissioned,2018-01-01,2021-12-31
unitedStates,CA,Fresno,Pacific Southwest,D17,Lower Teakettle NEON,TEAK,distributed,basePlot,,TEAK_009,1600,40m x 40m,41,37.048205,-119.02067,WGS84,11N,320312.013,4102129.344,0.09,2563.67,0.09,2548.72,2572.71,24.23,29.3,shrubScrub, ,Geo 7X (H-Star),2015-06-09,401,1.5,0.8,TEAK_009_basePlot,bet|bgc|div|hbp,decommissioned,2019-01-01,2021-12-31
unitedStates,WA,Clark,Pacific Northwest,D16,Abby Road NEON,ABBY,distributed,mammalGrid,,ABBY_003,8100,90m x 90m,E5,45.761271,-122.369389,WGS84,10N,549039.208,5067716.925,0.16,610.41,0.21,597.72,620.23,10.97,19.25,evergreenForest,Andisols,Geo 7X (H-Star),2016-05-24,353,3.4,2.7,ABBY_003_mammalGrid,mam,decommissioned,2016-01-01,2017-12-31
unitedStates,WA,Clark,Pacific Northwest,D16,Abby Road NEON,ABBY,distributed,mammalGrid,,ABBY_011,8100,90m x 90m,E5,45.743532,-122.356199,WGS84,10N,550080.781,5065754.319,0.1,428.75,0.1,425.16,443.01,10.57,80.03,grasslandHerbaceous,Inceptisols,Geo 7X (H-Star),2016-05-26,306,1.6,0.8,ABBY_011_mammalGrid,mam,decommissioned,2016-01-01,2017-12-31
unitedStates,WA,Clark,Pacific Northwest,D16,Abby Road NEON,ABBY,tower,basePlot,,ABBY_066,1600,40m x 40m,41,45.763502,-122.329984,WGS84,10N,552101.483,5067989.722,0.1,360.23,0.1,357.18,361.16,270,3.8,evergreenForest,Andisols,Geo 7X (H-Star),2015-07-15,1421,2.1,1.1,ABBY_066_basePlot,vst,decommissioned,2015-01-01,2015-12-31
unitedStates,AK,North Slope Borough,Tundra,D18,Utqiagvik NEON,BARR,distributed,tickPlot,,BARR_021,1600,40m x 40m,41,71.256222,-156.554389,WGS84,4N,587689.572,7907746.08,0.1,5.53,0.1,5.53,5.73,0.02,175.15,emergentHerbaceousWetlands,,Geo 7X,2015-06-15,326,2.3,0.9,BARR_021_tickPlot,tck,decommissioned,2017-01-01,2017-12-31
unitedStates,AK,North Slope Borough,Tundra,D18,Utqiagvik NEON,BARR,distributed,birdGrid,ninePoints,BARR_040,250000,500m x 500m,5,71.310604,-156.624,WGS84,4N,584956.545,7913707.837,0.97,3.06,0.78,3.06,6.56,0.09,288.68,emergentHerbaceousWetlands,,Geo 7X,2015-06-18,385,2.1,0.8,BARR_040_birdGrid,brd,decommissioned,2017-01-01,2019-12-31
unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest NEON,BART,distributed,basePlot,,BART_008,1600,40m x 40m,41,44.058,-71.2588,WGS84,19N,319081.4731,4880800.006,NA,350,NA,NA,NA,NA,NA,mixedForest,,,NA,NA,NA,NA,BART_008_basePlot,bet|div,decommissioned,2014-01-01,2014-12-31
