"plotID","pointID","plotType","subtype","decimalLatitude","decimalLongitude","geodeticDatum","utmZone","easting","northing","coordinateUncertainty","coordinateSource","elevation","elevationUncertainty","nlcdClass","applicableModules","versionStartDate","versionEndDate","site"
"BART_006","21","distributed","basePlot",44.060355,-71.311178,"WGS84","19N",314889.597,4881173.346,0.15,"GeoXH 6000",446.71,0.23,"deciduousForest","cdw|cfc|dhp|hbp|vst",20140101,20201020,"BART"
"BART_006","25","distributed","basePlot",44.060341,-71.310646,"WGS84","19N",314932.152,4881170.596,0.19,"GeoXH 6000",437.12,0.19,"deciduousForest","cdw|cfc|dhp|hbp|vst",20140101,20201020,"BART"
"BART_006","31","distributed","basePlot",44.060421,-71.311033,"WGS84","19N",314901.401,4881180.42,0.18,"GeoXH 6000",443.56,0.27,"deciduousForest","cdw|cfc|dhp|hbp|vst",20140101,20201020,"BART"
"BART_006","31","distributed","basePlot",44.060467,-71.310972,"WGS84","19N",314906.401,4881185.42,2.18,"GIS",443.56,0.27,"deciduousForest","div",20140101,20201020,"BART"
"BART_006","31.1.1","distributed","basePlot",44.060426,-71.311027,"WGS84","19N",314901.901,4881180.92,0.43,"GIS",443.56,0.27,"deciduousForest","div",20140101,20201020,"BART"
"BART_006","31.1.10","distributed","basePlot",44.060436,-71.311014,"WGS84","19N",314902.982,4881182.001,1.18,"GIS",443.56,0.27,"deciduousForest","div",20140101,20201020,"BART"
"BART_006","40","distributed","basePlot",44.060565,-71.310977,"WGS84","19N",314906.345,4881196.219,2.2,"GIS",437.66,0.28,"deciduousForest","div",20140101,20201020,"BART"
"BART_006","40.1.1","distributed","basePlot",44.060523,-71.311031,"WGS84","19N",314901.845,4881191.719,0.45,"GIS",437.66,0.28,"deciduousForest","div",20140101,20201020,"BART"
"BART_006","40.1.10","distributed","basePlot",44.060533,-71.311018,"WGS84","19N",314902.926,4881192.8,1.2,"GIS",437.66,0.28,"deciduousForest","div",20140101,20201020,"BART"
"BART_006","40.3.1","distributed","basePlot",44.060604,-71.311035,"WGS84","19N",314901.845,4881200.719,0.45,"GIS",437.66,0.28,"deciduousForest","div",20140101,20201020,"BART"
"BART_006","40.3.10","distributed","basePlot",44.060594,-71.311021,"WGS84","19N",314902.926,4881199.638,1.2,"GIS",437.66,0.28,"deciduousForest","div",20140101,20201020,"BART"
