fieldName,Description,Further.Documentation
country,Country the plot centroid falls in,
stateProvince,State the plot centroid falls in,
county,County or municipality the plot centroid falls in,
domainName,NEON domain name,
domainID,Unique identifier of the NEON domain,
siteName,Full site name,
siteID,Four letter site code,
plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient","For more information, see NEON.DOC.000913 'TOS Science Design for Spatial Sampling' for an overview of the terrestrial observation system sampling strategies"
subtype,"Type of plot or grid associated with a plot type: basePlot, mammalGrid, birdGrid, tickPlot, mosquitoPoint, phenology","For more information, see NEON.DOC.000913 'TOS Science Design for Spatial Sampling' for an overview of the implementation of the study design"
subtypeSpecification,Subtype specification is there to further differentiate between multiple possible sampling methods employed within a single plot subtype.,"For more information, see NEON.DOC.000913 'TOS Science Design for Spatial Sampling' for an overview of the implementation of the study design"
plotID,Plot identifier (NEON site code_XXX),
plotSize,plot area (m). Note: Tick plots at GUAN are an alternative shape to the standard 40m by 40m square transect.,
plotDimensions,Dimensions of plot (m). Note: Tick plots at GUAN are an alternative shape to the standard 40m by 40m square transect.,
referencePointPosition,Point Ids according to a standardized grid system,"For more information, see NEON.DOC.001025 'TOS Protocol and Procedure: Plot Establishment' or NEON.DOC.000913 'TOS Science Design for Spatial Sampling'"
decimalLatitude,"The geographic latitude (in decimal degrees, WGS84)",
decimalLongitude,"The geographic longitude (in decimal degrees, WGS84)",
geodeticDatum,Model used to measure horizontal position on the earth,
utmZone,UTM zone,
easting,Geographic coordinate specifying the east-west position of a point on the Earth's surface (Universal Transverse Mercator (UTM)),
northing,Geographic coordinate specifying the north-south position of a point on the Earth's surface (Universal Transverse Mercator (UTM)),
coordinateUncertainty,The estimated horizontal distance (in meters) from the given spatial location describing the smallest circle containing the actual location. ,
elevation,Elevation (in meters) above mean sea level,
elevationUncertainty,The estimated vertical distance (in meters) from the given elevation describing the maximum range (plus or minus) containing the actual elevation. ,
minimumElevation,Minimum elevation of the plot (m),
maximumElevation,Maximum elevation of the plot (m),
slopeGradient,Maximum slope gradient (degrees) within the plot,
slopeAspect,Slope aspect (degrees) of the maximum slope gradient within the plot,
nlcdClass,National Land Cover Database classification from the initial year of sampling,"For more information, see NEON.DOC.000913 'TOS Science Design for Spatial Sampling'. More information about the NLCD itself can be found at 'http://www.mrlc.gov/'"
soilTypeOrder,Soil orders are derived from external USDA Web Soil Survey data when available.  For each site the data was downloaded and then extracted by plot centroid. Plots or sites that did not have information available are left blank.,"For more information and soil data downloads, see https://www.nrcs.usda.gov/wps/portal/nrcs/main/soils/survey/"
inclusionProbability,"blank for all rows, holdover from initial delivery to CI. ",
coordinateSource,The method used to collect or create spatial information.  GeoXH 6000 and Geo 7X are both models of Trimble handheld GPS recievers,
recordedDate,Date of GPS field collection,
filteredPositions,Number of filtered positions taken when collecting GPS data,
plotPdop,position dilution of precision for GPS data,
