DomainName,SiteName,SiteID,SiteType,Science,StateID,UTM_Zone,WSAreaKm2,Source,Area_NED,AOPLiDAR,AOP_Flight,AOPCoverag,TIS_WS,TIS_Dist,TIS_Bear,HUC12Name,HUC12,NLCD_11,NLCD_12,NLCD_21,NLCD_22,NLCD_23,NLCD_24,NLCD_31,NLCD_41,NLCD_42,NLCD_43,NLCD_51,NLCD_52,NLCD_71,NLCD_72,NLCD_81,NLCD_82,NLCD_90,NLCD_95,NRCS_ALF,NRCS_ARI,NRCS_AND,NRCS_ENT,NRCS_GEL,NRCS_HIS,NRCS_INC,NRCS_MOL,NRCS_OXI,NRCS_SPO,NRCS_ULT,NRCS_VER,NRCS_WATER,NoSoilData
Northeast,Lower Hop Brook,HOPB,Core Aquatic,Wadeable Stream,MA,18N,11.88641487,,0,DTM_HOPB_2017_08,D01_HOPB_C1_P2_v1,100,No,14.87,240,Quabbin Reservoir-East Branch Swift River,010802040104,0.17149,0,4.497496,0.72916,0.07979698,0,0.08632544,28.19417,10.056338,49.856395,0,0,0.05591257,0,3.865034,0,2.349682,0.05820931,0,0,0,1.589849,0,1.401112,96.866912,0,0,0,0,0,0.142133,0
Mid-Atlantic,Posey Creek,POSE,Core Aquatic,Wadeable Stream,VA,17N,2.028762,,0,DTM_SCBI_2019_06,D02_SCBI_C1_P1_v1,100,Yes,0.78,290,Happy Creek,020700051005,0,0,2.156438,0,0.02454699,0,0,91.952777,0.234232,3.421939,0,0,0,0,2.210018,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Southeast,Barco Lake,BARC,Core Aquatic,Lake,FL,17N,31.334037,,0,DTM_OSBS_2019_04,D03_OSBS_C1_P1_v1,100,No,2.4,231,Levys Prairie,030801030501,4.869963,0,7.35609,0.502559,0.01030828,0,0.310889,1.824786,34.822331,0.02861106,0,7.055532,4.165965,0,14.604987,0,13.150961,11.297019,1.162142,0,0,25.907255,0,24.219631,5.463646,0,0,3.793191,33.039075,0,6.415059,0
Southeast,Suggs Lake,SUGG,Core Aquatic,Lake,FL,17N,39.61086,,0,DTM_OSBS_2019_04,D03_OSBS_C1_P1_v1,100,No,2.61,273,Levys Prairie,030801030501,5.880284,0,6.370753,0.486864,0.008,0,0.253191,1.530199,36.500932,0.02173899,0,6.374153,3.59998,0,15.207075,0,14.415501,9.351143,0.919308,0,0,22.107647,0,21.928186,5.869691,0,0,3.500893,38.957682,0,6.71659,0
Atlantic Neotropical,Rio Cupeyes,CUPE,Core Aquatic,Wadeable Stream,PR,19N,4.259466,,0,DTM_CUPE_2018_05,D04_CUPE_A1_P1_v1,100,No,20.39,322,Rio Cupeyes,2.101E+11,0,0,0.717887,0.147906,0.253553,0,0,0,97.819204,0,0,0.206213,0.855238,0,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,0.001551
Great Lakes,Crampton Lake,CRAM,Core Aquatic,Lake,WI,16N,0.570141,,0,DTM_UNDE_2019_06,D05_UNDE_C1_P1_v1,100,No,5.55,115,Tenderfoot Creek,040201020102,47.706445,0,0.13523,0,0,0,0,5.906258,0.329743,6.929163,0,0,0.517942,0,0,0,38.317188,0.157856,0,0,0,0,0,6.645724,0,0,0,45.553644,0,0,47.800456,0
Prairie Peninsula,Kings Creek,KING,Core Aquatic,Wadeable Stream,KS,14N,13.044891,,0,DTM_KONZ_2019_07,D06_KONZ_KONA_C1_P1_v2,100,Yes,3.52,278,McDowell Creek,1.02701E+11,0,0,0,0,0,0,0,10.00988,0,0,0,0,89.985497,0,0,0,0,0.0046,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Appalachians & Cumberland Plateau,Walker Branch,WALK,Core Aquatic,Wadeable Stream,TN,16N,1.090706,,0,DTM_ORNL_2016_06,D07_ORNL_C1_P1_v8,100,Yes,0.83,156,Clinch River-Conner Creek,060102070404,0,0,0,0,0,0,0,99.863575,0,0,0,0,0,0,0.136425,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Ozarks Complex,Mayfield Creek,MAYF,Core Aquatic,Wadeable Stream,AL,16N,14.351144,,0,DTM_TALL_2019_04,D08_TALL_C1_P1_v1,100,Yes,1.87,309,South Sandy Creek,031601130103,0,0,2.683884,0,0,0,0,37.396775,37.852439,18.943988,0,1.165538,0.02608154,0,0,0,1.931302,0,0,0,0,9.063131,0,0,0,0,0,0,90.936869,0,0,0
Northern Plains,Prairie Pothole,PRPO,Core Aquatic,Lake,ND,14N,2.053617,,0,DTM_WOOD_2019_07,D09_WOOD_DCFS_C1_P1_v2,100,No,0.76,293,Northwestern Lake,1.016E+11,15.719776,0,1.661605,0,0,0,0,0,0.04187733,0,0,0,64.621641,0,3.502503,7.282468,0,7.170081,0,0,0,0,0,0,0,98.895461,0,0,0,0,1.104539,0
