"site","nlcdClass","areaKm2","percent","nlcdYear"
"HOPB","openWater",0.02,0.17,"2016"
"HOPB","developedOpenSpace",0.53,4.5,"2016"
"HOPB","developedLowIntensity",0.09,0.73,"2016"
"HOPB","developedMediumIntensity",0.01,0.08,"2016"
"HOPB","barrenLand",0.01,0.09,"2016"
"HOPB","deciduousForest",3.35,28.19,"2016"
"HOPB","evergreenForest",1.2,10.06,"2016"
"HOPB","mixedForest",5.93,49.86,"2016"
"HOPB","grasslandHerbaceous",0.01,0.06,"2016"
"HOPB","pastureHay",0.46,3.87,"2016"
"HOPB","woodyWetlands",0.28,2.35,"2016"
"HOPB","emergentHerbaceousWetlands",0.01,0.06,"2016"
"LEWI","developedOpenSpace",0.54,4.54,"2016"
"LEWI","developedLowIntensity",0.08,0.65,"2016"
"LEWI","developedMediumIntensity",0.01,0.07,"2016"
"LEWI","deciduousForest",0.87,7.29,"2016"
"LEWI","evergreenForest",0.22,1.81,"2016"
"LEWI","mixedForest",0.79,6.59,"2016"
"LEWI","pastureHay",8.1,67.99,"2016"
"LEWI","cultivatedCrops",1.31,10.98,"2016"
"LEWI","emergentHerbaceousWetlands",0.01,0.09,"2016"
"POSE","developedOpenSpace",0.04,2.16,"2016"
"POSE","deciduousForest",1.87,91.95,"2016"
"POSE","mixedForest",0.07,3.42,"2016"
"POSE","pastureHay",0.04,2.21,"2016"
"BARC","openWater",1.53,4.87,"2016"
"BARC","developedOpenSpace",2.3,7.36,"2016"
"BARC","developedLowIntensity",0.16,0.5,"2016"
"BARC","barrenLand",0.1,0.31,"2016"
"BARC","deciduousForest",0.57,1.82,"2016"
"BARC","evergreenForest",10.91,34.82,"2016"
"BARC","mixedForest",0.01,0.03,"2016"
"BARC","shrubScrub",2.21,7.06,"2016"
"BARC","grasslandHerbaceous",1.31,4.17,"2016"
"BARC","pastureHay",4.58,14.6,"2016"
"BARC","woodyWetlands",4.12,13.15,"2016"
"BARC","emergentHerbaceousWetlands",3.54,11.3,"2016"
"SUGG","openWater",2.33,5.88,"2016"
"SUGG","developedOpenSpace",2.52,6.37,"2016"
"SUGG","developedLowIntensity",0.19,0.49,"2016"
"SUGG","barrenLand",0.1,0.25,"2016"
"SUGG","deciduousForest",0.61,1.53,"2016"
"SUGG","evergreenForest",14.46,36.5,"2016"
"SUGG","mixedForest",0.01,0.02,"2016"
"SUGG","shrubScrub",2.52,6.37,"2016"
"SUGG","grasslandHerbaceous",1.43,3.6,"2016"
"SUGG","pastureHay",6.02,15.21,"2016"
"SUGG","woodyWetlands",5.71,14.42,"2016"
"SUGG","emergentHerbaceousWetlands",3.7,9.35,"2016"
"FLNT","openWater",165.89,1.11,"2016"
"FLNT","developedOpenSpace",667.59,4.45,"2016"
"FLNT","developedLowIntensity",346.97,2.31,"2016"
"FLNT","developedMediumIntensity",86.17,0.57,"2016"
"FLNT","developedHighIntensity",52.47,0.35,"2016"
